archive_id,ad_creative_body,page_name,partisanship
132329638113169,"We are on the verge of winning this whole damn thing, but we are counting on your financial support before our FEC deadline on February 29th – our LAST deadline before Super Tuesday on March 3. The Democratic establishment and the billionaire class are us considerably, and there are SIX super PACs pouring money into this race to defeat us. 

The only way that we will be able to keep up is with lots and lots of small donations. So please make a contribution before our deadline.",Bernie Sanders,liberal
2489428007834027,No more climate deniers in the White House. Mike Bloomberg will restore real leadership on climate change.,Mike Bloomberg,liberal
206334847423862,"Government shutdowns, administration turnover, record deficit?

The only constant in Trump's White House is chaos. Let's do something about it. Learn more and vote him out:",Mike Bloomberg,liberal
932167193925035,"🙌 WOW!! Dr. Jill Biden just got off the convention stage after an INCREDIBLE speech. She’s got Democrats all over the country THRILLED to vote blue in November.

We’re putting together a digital card to thank Jill for exciting and uniting Democrats -- it’s the key to a MASSIVE blue wave! But we need 250,000 signatures or Trump will think NO ONE heard Jill Biden speak! Add Your Name NOW >>",Progressive Turnout Project,liberal
609772006473591,"By winning the New Hampshire primary, we have sent a profound message to the political establishment. But here is the truth: what they’ve thrown our way so far so far is NOTHING compared to what’s coming next. They wrote us off for a long time, but now we should expect everything they’ve got. 

Can you make a contribution to help us fight back and continue winning all over this country?",Bernie Sanders,liberal
587587385369344,"The American people deserve a fair impeachment trial, but Senate Republicans are doing everything they can to protect this administration. 

Stand with Democrats and demand that Mitch McConnell agrees to a fair trial. 

SIGN THE PETITION NOW >>",Democratic Party,liberal
2090359474444257,"Government shutdowns, administration turnover, record deficit? We can do something about it.",Mike Bloomberg,liberal
194659038409266,Ted Danson backs Mike Bloomberg for president. He has the unmatched experience to lead our country. Join Ted and endorse Mike now.,Mike Bloomberg,liberal
1282974145229651,"Mike Bloomberg will expand access to health care, lower costs, and protect Americans with pre-existing conditions.",Mike Bloomberg,liberal
239578627051096,"Mike Bloomberg led New York to solve big problems by working with everyone, together.",Mike Bloomberg,liberal
691565721467532,"Don’t miss National Voter Registration Day this year!

Even if you’ve voted before, please take just 60 seconds to confirm your voter registration again today!",Joe Biden,liberal
211997186516436,"Under President Trump, the national debt ballooned, and our health care coverage has been at risk.

Donald Trump has made plenty of broken promises. Now it's time for a change. Learn more:",Mike Bloomberg,liberal
199727564750877,Trump killed environmental protections — undermining protections to stop animals from going extinct. Stand up to defend our planet and Mike fight the war on science.,Mike Bloomberg,liberal
2481369658829602,He's just the kind of leader we need.,Joe Biden,liberal
178994320052461,"Government shutdowns, administration turnover, record deficit? We can do something about it.",Mike Bloomberg,liberal
2766296600362557,"Susan Collins is the WORST. She’s the reason Brett Kavanaugh was confirmed -- solidifying Trump’s Republican majority on the Supreme Court. Now she’s up for re-election and we’re ready for revenge. We have a chance to send Collins packing for good -- but if we don’t get 500 more donations by midnight, we won’t be able to run our massive voter turnout operate to defeat Susan Collins [NO!]

If you’re all in to defeat Susan Collins and flip the Senate BLUE, rush a 5X-MATCHED donation:",Progressive Turnout Project,liberal
187751038987970,Can we afford four more years of broken promises? It's time for a change.,Mike Bloomberg,liberal
355958925724519,"🆘Governor Greg Abbott is pulling out all the stops to try and suppress the vote in Texas. But we will not allow his continued acts of voter suppression to deter us from casting our ballots. 

Our Powered by People volunteers are calling millions of Democratic voters in Texas who will decide the outcome in the biggest swing state. All we need is Texas’s 38 Electoral College votes to send Joe Biden to the White House. 

Will you consider chipping in what you can to support our work in producing record voter turnout to flip Texas blue?",Beto O'Rourke,liberal
1900247783482180,"FIRST: Democrats flipped Georgia blue by a margin of 11,779 votes. 

THEN: Republicans got to work passing one of the most shameful voter suppression bills in modern history. It imposes stricter voter I.D. laws and even makes it a crime to simply give a voter standing in line a water bottle. 

NOW: We’re going to fight this with everything we’ve got, but we need your help.

Will you join Jaime and Democrats nationwide to fight voter suppression?",Democratic Party,liberal
2628860147378473,"It’s no secret that Donald Trump’s presidency has been a stain on our democracy. We’re working hard to make him a one-term president, and you’ve been selected to let us know where you stand. Are you ready to kick Donald Trump out of the White House? Take our 5-second poll >>",Joe Biden,liberal
409551500443880,"We’re just days away from Election Day, but make no mistake: these final days are make-or-break for our campaign. Trump, his billionaire donors, and GOP super PACs are pouring in millions across battleground states to stop our momentum. 

We have to ice them out to ensure Joe, Kamala, and Democrats up and down the ballot achieve victory. Will you rush a donation right now to help us double down on our efforts in the critical final stretch?",Joe Biden,liberal
2746082988976245,,Joe Biden,liberal
201345164301111,"This is the Trump White House --

✔️Government shutdown
✔️Administration turnover
✔️ Record deficit

It's time to vote him out.",Mike Bloomberg,liberal
198633871521969,"Carlitos Rodriguez is a survivor of the Marjory Stoneman Douglas High School shooting in Parkland, FL, that killed 17 of his classmates. Carlitos created Stories Untold US to make sure their stories didn’t die with them. We must honor these stories with action.",Mike Bloomberg,liberal
193520398589201,Thousands of voters are showing their support for a real candidate. Add your name and show the world that Mike has the best chance of beating Trump.,Mike Bloomberg,liberal
526100818100268,"𝐎𝐅𝐅𝐈𝐂𝐈𝐀𝐋 𝐃𝐄𝐌𝐎𝐂𝐑𝐀𝐓𝐈𝐂 𝐏𝐎𝐋𝐋:

POLL DEADLINE: 𝟑 𝐦𝐢𝐧𝐮𝐭𝐞𝐬
RESPONSES NEEDED: 𝟐𝟒𝟔
YOUR RESPONSE: 𝐌𝐈𝐒𝐒𝐈𝐍𝐆!

Tell us NOW: Will you vote for Joe Biden?",Democratic Governors Association (DGA),liberal
2587210661520291,Our country needs a proven leader. Mike Bloomberg is the only Democrat in the race who can take on Trump and win.,Mike Bloomberg,liberal
193352931752303,Trump is scared. Wanna know why? Watch this.,Mike Bloomberg,liberal
775244546334237,Please rush a donation to our campaign before the New Hampshire primary to help us take on the pro-Biden and Buttigieg super PACs that are spending millions to defeat us in these final days.,Bernie Sanders,liberal
635844317171339,"Government shutdowns, administration turnover, record deficit?

The only constant in Trump's White House is chaos. Let's do something about it. Learn more and vote him out:",Mike Bloomberg,liberal
358772805523818,{{product.brand}},Joe Biden,liberal
352811655993799,"Voting in GA is as easy as returning your ballot. You can do it today!

Just follow these simple steps:

#1. Fill out the ballot.

#2. Place your ballot in inner envelope. Then place inner envelope in outer envelope.

#3. Sign outer envelope.

#4. Return your ballot by: mail, dropbox (if available), or drop it off in person.

Find out more at iwillvote.com/ga.",Democratic Party,liberal
302385734197896,"This is what keeps us up at night. More Americans still expect Donald Trump to win in November, according to a new CBS poll. Trump and his allies out-fundraised us last month. They are now running an aggressive advertising game. Kamala and I need to compete dollar for dollar. Will you make your best possible donation right now so we can close the fundraising gap, defeat Trump, and beat the GOP nationwide?",Joe Biden,liberal
640917820015149,"Another day, another White House drama...
It's time to vote him out.",Mike Bloomberg,liberal
169952744217832,Maternal mortality is on the rise—and it's worse for Latinx women. That’s wrong. Mike Bloomberg has a plan to fix it.,Mike Bloomberg,liberal
1818599031611886,It’s like tracking a package. Return your ballot today and track your vote!,Democratic Party,liberal
215872162884592,We cannot afford four more years of broken promises.,Mike Bloomberg,liberal
268862804299347,"Support Democratic unity today and get a FREE bumper sticker! 

Our unity is our greatest strength, and together we will beat Republicans this November.",Democratic Party,liberal
179775250023039,Trump killed environmental protections — undermining protections to stop animals from going extinct. Stand up to defend our planet and Mike fight the war on science.,Mike Bloomberg,liberal
249683076008639,{{product.brand}},Joe Biden,liberal
832082253953776,"President Trump has made enough broken promises. Now, it's time for a change.",Mike Bloomberg,liberal
254938328881729,"We will defeat Donald Trump by answering his division with unity. His lies with truth. His fear with hope. We will connect people and show that compassion has always been stronger than cruelty – and it always will be. But to do that, we need the support of 74 more grassroots supporters across the nation before midnight, and we haven’t heard from you yet. So, what do you say: Are you ready to defeat Donald Trump?",Joe Biden,liberal
1123080108035274,"President Trump’s company was just caught charging his own Secret Service an exorbitant amount of money - up to $650 A NIGHT - to stay at Trump properties, and $17,000 a month to use Trump’s golf resort. That money comes from us, the taxpayers. Once again, Trump is corruptly using the presidency to pad his own family’s pockets.",Mike Bloomberg,liberal
653312728893732,"Hi folks, it’s Joe Biden. Tonight, I’m on stage for the first debate with Donald Trump. The media will read a lot into what comes out of this night, so it’s extremely important for us to have a huge fundraising day today to show our momentum. With such little time left before Election Day, your donations today could mean the difference between victory and defeat in our fight against Trump and the GOP. We need your help to elect Kamala and me and Democrats across the country. Please make a $10 contribution before the night ends.",Joe Biden,liberal
496379354614918,"Mike will take on Trump and beat him. He’ll build on Obamacare, expand coverage, and stand up to GOP attacks on our care.",Mike Bloomberg,liberal
325593858632193,"The wait is over: Joe just announced Kamala Harris as his running mate! 

Senator Kamala Harris is a leader in holding the Trump administration accountable in Washington. Joe and Kamala are ready to fight for hard-working Americans who have been hurt by Trump and the GOP’s divisive politics. They’re ready to lead the ticket to defeat Donald Trump and mobilize Democrats nationwide this November. 

Our momentum is stronger than ever. Add your name today to show your support >>",Joe Biden,liberal
300798851158980,"𝐒𝐨𝐫𝐫𝐲 𝐭𝐨 𝐢𝐧𝐭𝐞𝐫𝐫𝐮𝐩𝐭 𝐲𝐨𝐮𝐫 𝐬𝐜𝐫𝐨𝐥𝐥𝐢𝐧𝐠, 𝐛𝐮𝐭 𝐭𝐡𝐢𝐬 𝐭𝐫𝐢𝐩𝐥𝐞 𝐦𝐚𝐭𝐜𝐡 𝐢𝐬 𝐞𝐱𝐭𝐞𝐧𝐝𝐞𝐝 𝐨𝐧𝐥𝐲 𝐮𝐧𝐭𝐢𝐥 𝟏𝟏:𝟓𝟗 𝐩.𝐦. 𝐭𝐨𝐧𝐢𝐠𝐡𝐭: Now more than ever, we have to come together to defeat President Trump’s hateful agenda. That’s why we’re asking you to help us meet our $50,000 goal by midnight tonight – and every gift up to our goal will be triple-matched. Can you chip in now to help Democrats win in key swing states across the country and stop Trump’s agenda before it’s too late?",Democratic Governors Association (DGA),liberal
3161664554059500,"In case you haven’t noticed, we are under attack – from the corporate media, from the Democratic establishment, from Buttigieg and Biden’s super PACs, and from the corporate media. And that is because they are getting very nervous that we are going to win. 

The truth is that we are in a very good position to win, but to do so, we need to have the resources to fight back. Can you rush a contribution to our campaign?",Bernie Sanders,liberal
521778842052060,"The biggest threat to our environment is the refusal to admit that there’s a threat at all. Mike Bloomberg is ready to act. As mayor of the nation's largest city, he cut emissions and improved air quality. As president, Mike will double the federal fire budget to boost prevention, restoration, and support for firefighters. Protecting our planet should be a national priority. As president, Mike will get it done.",Mike Bloomberg,liberal
760432267845613,"Hey New Hampshire – Election Day is right around the corner, do you have a plan to vote yet?

Don’t wait until it’s too late, click below and take just a minute right now to confirm where you’re voting this year!",Democratic Party,liberal
185741659383260,"Government shutdowns, administration turnover, record deficit?

The only constant in Trump's White House is chaos. Let's do something about it. Learn more and vote him out:",Mike Bloomberg,liberal
241722413494517,Mass incarceration has plagued our country’s most vulnerable citizens for too long. America needs a president who gets it.,Mike Bloomberg,liberal
283061399344427,"𝐇𝐔𝐆𝐄 𝐒𝐇𝐈𝐅𝐓 𝐈𝐍 𝐓𝐇𝐄 𝐏𝐎𝐋𝐋𝐒: 𝐍𝐄𝐄𝐃 𝐘𝐎𝐔𝐑 𝐑𝐄𝐒𝐏𝐎𝐍𝐒𝐄 𝐍𝐎𝐖

𝐘𝐎𝐔𝐑 𝐎𝐅𝐅𝐈𝐂𝐈𝐀𝐋 𝐒𝐓𝐑𝐀𝐖 𝐏𝐎𝐋𝐋 𝐑𝐄𝐒𝐏𝐎𝐍𝐒𝐄
𝐘𝐎𝐔𝐑 𝐑𝐄𝐒𝐏𝐎𝐍𝐒𝐄: MISSING
𝐏𝐎𝐋𝐋 𝐃𝐄𝐀𝐃𝐋𝐈𝐍𝐄: 11:59 P.M.
𝐀𝐃𝐃𝐈𝐓𝐈𝐎𝐍𝐀𝐋 𝐕𝐎𝐓𝐄𝐒 𝐍𝐄𝐄𝐃𝐄𝐃: 485
𝐓𝐞𝐥𝐥 𝐮𝐬 𝐛𝐞𝐟𝐨𝐫𝐞 𝐦𝐢𝐝𝐧𝐢𝐠𝐡𝐭: Who’s your pick for the Democratic presidential nominee? Bernie Sanders or Joe Biden?",Democratic Governors Association (DGA),liberal
776644379825839,Joe Biden will help America build back better. Here's how.,Joe Biden,liberal
912377429178228,"Mike has led the fight against climate change throughout his career — cutting emissions and improving environmental quality. As president, he'll do even more— restoring our climate leadership and making the fight against climate change a national priority.",Mike Bloomberg,liberal
751093852100688,{{product.brand}},Joe Biden,liberal
521495842350453,Glenn Youngkin brags about getting praised by Trump and refuses to acknowledge the outcome of the 2020 election.,Democratic Governors Association (DGA),liberal
972592969808331,"Trump is afraid of the NRA — but the NRA is afraid of Mike. Mike Bloomberg has taken on the gun lobby — and won — to pass lifesaving gun safety laws. As president, he'll take his fight straight to the Oval Office to protect all our kids from gun violence.",Mike Bloomberg,liberal
262578991384404,Maternal mortality is on the rise—and it's worse for Latinx women. That’s wrong. Mike Bloomberg has a plan to fix it.,Mike Bloomberg,liberal
597500660834166,"Under President Trump, the national debt ballooned, and our health care coverage has been at risk.

Donald Trump has made plenty of broken promises. Now it's time for a change. Learn more:",Mike Bloomberg,liberal
494472281260724,"If you’ve been waiting for the right time to make a donation to our campaign, now is the time. Our LAST FEC fundraising deadline before the Iowa caucus is on January 31. And what we raise before this deadline will determine how many more doors we can knock and voters we can reach in the final 3 days before voting begins in Iowa. 

So if you can afford it, please make a contribution to our campaign before January 31.",Bernie Sanders,liberal
182241316474235,Our rights are under attack. Our vote is how we fight back. Mike Bloomberg is 100% pro-choice and will defend our rights.,Mike Bloomberg,liberal
225462875297296,Can we afford four more years of broken promises? It's time for a change.,Mike Bloomberg,liberal
363213994928382,"URGENT: You can cast your ballot for Joe and Kamala today!

You can vote early in Nevada now, so don’t wait any longer – click below to find out where you can vote.",Joe Biden,liberal
762633137546887,Congressman Adam Schiff did an AMAZING job leading the impeachment investigation and exposing Trump’s corruption. But now Trump is VICIOUSLY attacking Adam Schiff -- he’s hell-bent on destroying his career [NO!]  So we’re sending him a HUGE thank you card to make sure he knows we stand with him. Space is limited -- so make sure you add your name now to thank Adam Schiff!,Progressive Turnout Project,liberal
713360655932365,"YOUR RESPONSE NEEDED: We’re approaching the most important election of our lifetime, and we need to know if Democrats will be turning out this year. Tell us before 11:59 p.m.: Will you vote this year?",Democratic Governors Association (DGA),liberal
396161671545478,"[WE’RE IN HEAVEN!!!] Trump is TANKING the Republican Party’s chance to win the election. We’re on the cusp of delivering a Democratic LANDSLIDE so big that the Republicans will never recover!! 

Imagine the look on Trump’s face if we pull this off -- HE’LL BE FURIOUS!!! BUT: we’re behind on our strict $400,000 goal. So generous donors are 500%-Matching all donations until midnight to help us catch up. Do NOT wait -- the 500%-MATCH IS ABOUT TO EXPIRE. Rush $10 (500%-Matched) NOW >>",Progressive Takeover,liberal
687185565443041,"This is your campaign, so we want to make sure you're looped in on the news that matters most – starting with Joe's running mate. Sign up today, and we'll make sure you’re the first to hear about Joe's pick for Vice President:",Joe Biden,liberal
713586225919897,Here's the truth: 780 Retired Military and National Security leaders endorsed Joe because they understand he has the experience and wisdom to navigate America through this crisis and the next one.,Joe Biden,liberal
1353245388218972,"𝐒𝐈𝐆𝐍 𝐏𝐑𝐄𝐒𝐈𝐃𝐄𝐍𝐓 𝐎𝐁𝐀𝐌𝐀'𝐒 𝐁𝐈𝐑𝐓𝐇𝐃𝐀𝐘 𝐂𝐀𝐑𝐃!
Michelle Obama is wishing President Obama a happy birthday. Joe Biden is wishing Obama a happy birthday. Nancy Pelosi is wishing Obama a happy birthday. We need 1,522 more Democrats like you to join them by signing the card before 11:59 p.m. – add your name now!",Democratic Governors Association (DGA),liberal
2590109181234533,We cannot afford four more years of broken promises.,Mike Bloomberg,liberal
842391729566170,Can we afford four more years of broken promises? It's time for a change.,Mike Bloomberg,liberal
869732600133314,Lower costs. Expand access. Protect our reproductive rights. Mike Bloomberg will build on Obamacare and improve care for all,Mike Bloomberg,liberal
2579251732360178,"Under President Trump, the national debt ballooned, and our health care coverage has been at risk.

Donald Trump has made plenty of broken promises. Now it's time for a change. Learn more:",Mike Bloomberg,liberal
3084649691662722,"Don’t wait, make a plan to vote early now!

2020 has been tough, but you can make sure we end the year on a high note. Just click below and take a minute to confirm your polling place now!",Democratic Party,liberal
756381068398845,"🚨🚨🚨 𝗕𝗢𝗠𝗕𝗦𝗛𝗘𝗟𝗟 𝗡𝗘𝗪𝗦: Trump SLAMMED with major lawsuit accusing him of inciting the Capitol attack! We need to hear from 439 more Democrats by 11:59 p.m. tonight: DO YOU APPROVE OF DONALD TRUMP?
 
>> 𝗧𝗥𝗨𝗠𝗣’𝗦 𝗡𝗜𝗚𝗛𝗧𝗠𝗔𝗥𝗘 𝗜𝗦 𝗖𝗢𝗠𝗜𝗡𝗚 𝗧𝗥𝗨𝗘. This new lawsuit might actually do the one thing Trump is most afraid of: hold him accountable for his actions. As one of the top Democrats in your area, you’ve been specifically chosen to take part in our urgent poll -- but this poll closes at 11:59 P.M. TONIGHT, and we’re still missing your response. Tell us before it’s too late: DO YOU APPROVE OF TRUMP?",Senate Democrats,liberal
1389342714570822,"Trump has watched as prescription drug prices rise. 

He's also trying to take care from 7 million Americans and eliminate coverage for people with pre-existing conditions.

Destroying our health care has Trump's signature all over it.",Mike Bloomberg,liberal
